numero_pedido;quantidade_pedida; preco_unitario ;numero_linha_pedido;valor_venda;data_pedido;status_pedido;trimestre;mes;ano;linha_produto;preco_sugerido;codigo_produto;nome_cliente;telefone;endereco_1;endereco_2;cidade;estado;cep;pais;territorio;sobrenome_contato;nome_contato;porte_negocio
10107;30,00; R$ 957,00 ;2;R$ 28.710,00;24/02/2003;Enviado;1;2;2003;Motocicletas;95;S10_1678;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;EUA;;Yu;Kwai;Pequeno
10121;34,00; R$ 8.135,00 ;5;R$ 27.659,00;07/05/2003;Enviado;2;5;2003;Motocicletas;95;S10_1678;Reims Collectables;26.47.1555;59 rue de l'Abbaye;;Reims;;51100;França;EMEA;Henriot;Paul;Pequeno
10134;41,00; R$ 9.474,00 ;2;R$ 388.434,00;01/07/2003;Enviado;3;7;2003;Motocicletas;95;S10_1678;Lyon Souveniers;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;75508;França;EMEA;Da Cunha;Daniel;Médio
10145;45,00; R$ 8.326,00 ;6;R$ 37.467,00;25/08/2003;Enviado;3;8;2003;Motocicletas;95;S10_1678;Toys4GrownUps.com;6265557265;78934 Hillside Dr.;;Pasadena;CA;90003;EUA;;Young;Julie;Médio
10159;49,00; R$ 1.000,00 ;14;R$ 520.527,00;10/10/2003;Enviado;4;10;2003;Motocicletas;95;S10_1678;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;EUA;;Brown;Julie;Médio
10168;36,00; R$ 9.666,00 ;1;R$ 347.976,00;28/10/2003;Enviado;4;10;2003;Motocicletas;95;S10_1678;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;EUA;;Hirano;Juri;Médio
10180;29,00; R$ 8.613,00 ;9;R$ 249.777,00;11/11/2003;Enviado;4;11;2003;Motocicletas;95;S10_1678;Daedalus Designs Imports;20.16.1555;184, chausse de Tournai;;Lille;;59000;França;EMEA;Rance;Martine;Pequeno
10188;48,00; R$ 1.000,00 ;1;R$ 551.232,00;18/11/2003;Enviado;4;11;2003;Motocicletas;95;S10_1678;Herkku Gifts;+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;N 5804;Norway;EMEA;Oeztan;Veysel;Médio
10201;22,00; R$ 9.857,00 ;2;R$ 216.854,00;01/12/2003;Enviado;4;12;2003;Motocicletas;95;S10_1678;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;EUA;;Murphy;Julie;Pequeno
10211;41,00; R$ 1.000,00 ;14;R$ 470.844,00;15/01/2004;Enviado;1;1;2004;Motocicletas;95;S10_1678;Auto Canal Petit;(1) 47.55.6555;25, rue Lauriston;;Paris;;75016;França;EMEA;Perrier;Dominique;Médio
